date,county,cases,deaths
2021-01-09,Los Angeles,959156,12972
2021-01-10,Los Angeles,976075,13244
2021-01-11,Los Angeles,990632,13504
2021-01-12,Los Angeles,1004693,13757
2021-01-13,Los Angeles,1014753,13848
2021-01-14,Los Angeles,1024297,13937
2021-01-15,Los Angeles,1032806,14122
2021-01-16,Los Angeles,1038738,14416
2021-01-17,Los Angeles,1046591,14662
2021-01-18,Los Angeles,1054802,14894
2021-01-19,Los Angeles,1065505,15184
2021-01-20,Los Angeles,1073156,15262
2021-01-21,Los Angeles,1079672,15314
2021-01-22,Los Angeles,1085488,15614
2021-01-23,Los Angeles,1091712,15897
2021-01-24,Los Angeles,1098411,16127
2021-01-25,Los Angeles,1104720,16353
2021-01-26,Los Angeles,1111391,16652
2021-01-27,Los Angeles,1116948,16770
2021-01-28,Los Angeles,1121107,16857
2021-01-29,Los Angeles,1124975,17077
2021-01-30,Los Angeles,1129730,17324
2021-01-31,Los Angeles,1134595,17555
2021-02-01,Los Angeles,1138970,17772
2021-02-02,Los Angeles,1143591,17959
2021-02-03,Los Angeles,1146483,18047
2021-02-04,Los Angeles,1149346,18146
2021-02-05,Los Angeles,1152430,18367
2021-02-06,Los Angeles,1155491,18519
2021-02-07,Los Angeles,1158794,18678
2021-02-08,Los Angeles,1161926,18804
2021-02-09,Los Angeles,1164880,18993
2021-02-10,Los Angeles,1166552,19068
2021-02-11,Los Angeles,1168372,19095
2021-02-12,Los Angeles,1169688,19216
2021-02-13,Los Angeles,1171865,19381
2021-02-14,Los Angeles,1174340,19514
2021-02-15,Los Angeles,1176843,19670
2021-02-16,Los Angeles,1179149,19801
2021-02-17,Los Angeles,1180505,19885
2021-02-18,Los Angeles,1181469,19906
2021-02-19,Los Angeles,1183496,20069
2021-02-20,Los Angeles,1185559,20997
2021-02-21,Los Angeles,1187542,21106
2021-02-22,Los Angeles,1189232,21241
2021-02-23,Los Angeles,1190894,21328
2021-02-24,Los Angeles,1191923,21435
2021-02-25,Los Angeles,1192954,21467
2021-02-26,Los Angeles,1194333,21569
2021-02-27,Los Angeles,1196017,21676
2021-02-28,Los Angeles,1198178,21780
2021-03-01,Los Angeles,1200128,21916
2021-03-02,Los Angeles,1201868,22015
2021-03-03,Los Angeles,1203152,22029
2021-03-04,Los Angeles,1204018,22041
2021-03-05,Los Angeles,1205327,22104
2021-03-06,Los Angeles,1206740,22216
2021-03-07,Los Angeles,1208024,22319
2021-03-08,Los Angeles,1209849,22407
2021-03-09,Los Angeles,1209661,22449
2021-03-10,Los Angeles,1210270,22474
2021-03-11,Los Angeles,1210663,22476
2021-03-12,Los Angeles,1210961,22521
2021-03-13,Los Angeles,1211739,22581
2021-03-14,Los Angeles,1212648,22666
2021-03-15,Los Angeles,1213288,22722
2021-03-16,Los Angeles,1213792,22778
2021-03-17,Los Angeles,1214178,22797
2021-03-18,Los Angeles,1214754,22815
2021-03-19,Los Angeles,1215179,22879
2021-03-20,Los Angeles,1215772,22965
2021-03-21,Los Angeles,1216319,23022
2021-03-22,Los Angeles,1217116,23056
2021-03-23,Los Angeles,1217775,23080
2021-03-24,Los Angeles,1218229,23103
2021-03-25,Los Angeles,1218643,23101
2021-03-26,Los Angeles,1219029,23111
2021-03-27,Los Angeles,1219614,23144
2021-03-28,Los Angeles,1220256,23191
2021-03-29,Los Angeles,1220893,23236
2021-03-30,Los Angeles,1220893,23264
2021-03-31,Los Angeles,1220893,23301
2021-04-01,Los Angeles,1222479,23301
2021-04-02,Los Angeles,1222802,23302
2021-04-03,Los Angeles,1223205,23344
2021-04-04,Los Angeles,1223821,23390
2021-04-05,Los Angeles,1224547,23431
2021-04-06,Los Angeles,1225299,23467
2021-04-07,Los Angeles,1225796,23493
2021-04-08,Los Angeles,1226219,23503
2021-04-09,Los Angeles,1226627,23505
2021-04-10,Los Angeles,1226964,23553
2021-04-11,Los Angeles,1227537,23579
2021-04-12,Los Angeles,1228118,23601
2021-04-13,Los Angeles,1228641,23628
2021-04-14,Los Angeles,1228997,23653
2021-04-15,Los Angeles,1229328,23648
2021-04-16,Los Angeles,1229641,23668
2021-04-17,Los Angeles,1229998,23702
2021-04-18,Los Angeles,1230398,23736
2021-04-19,Los Angeles,1230398,23762
2021-04-20,Los Angeles,1231186,23785
2021-04-21,Los Angeles,1231532,23802
2021-04-22,Los Angeles,1231838,23799
2021-04-23,Los Angeles,1232131,23804
2021-04-24,Los Angeles,1232391,23833
2021-04-25,Los Angeles,1232751,23872
2021-04-26,Los Angeles,1233091,23899
2021-04-27,Los Angeles,1233505,23919
2021-04-28,Los Angeles,1233772,23946
2021-04-29,Los Angeles,1233998,23943
2021-04-30,Los Angeles,1234242,23942
2021-05-01,Los Angeles,1234242,23957
2021-05-02,Los Angeles,1234746,23977
2021-05-03,Los Angeles,1235150,23991
2021-05-04,Los Angeles,1235422,24008
2021-05-05,Los Angeles,1235651,24022
2021-05-06,Los Angeles,1235828,24026
2021-05-07,Los Angeles,1235999,24030
2021-05-08,Los Angeles,1236256,24048
2021-05-09,Los Angeles,1236456,24067
