  Month  Average_Case_Count  Average_Death_Count
2020-02            1.000000             0.000000
2020-03         2102.548387            85.096774
2020-04         3643.100000           556.166667
2020-05          916.516129           105.354839
2020-06          361.500000            24.966667
2020-07          315.903226             8.935484
2020-08          240.193548             4.322581
2020-09          369.866667             4.233333
2020-10          545.935484             5.580645
2020-11         1492.166667            11.633333
2020-12         3154.451613            35.322581
2021-01         4470.483871            72.032258
2021-02         3087.321429            78.607143
2021-03         2968.129032            58.612903
2021-04         1810.033333            42.433333
2021-05          436.838710            18.419355
2021-06          175.100000             6.700000
2021-07          606.935484             4.000000
2021-08         1497.258065            10.225806
2021-09         1301.033333            13.366667
2021-10          814.741935            10.064516
2021-11         1065.866667             8.333333
2021-12        16341.741935            22.806452
2022-01        14857.548387           106.096774
2022-02          978.964286            37.178571
2022-03          832.322581             8.129032
2022-04         1965.100000             4.300000
2022-05         3289.225806             8.000000
2022-06         2691.566667            10.400000
2022-07         3304.967742            13.032258
2022-08         2160.516129            14.129032
2022-09         1581.100000            10.700000
2022-10         1615.225806            12.903226
2022-11         2243.933333            16.166667
2022-12         2729.967742            24.322581
2023-01         1858.580645            21.967742
2023-02          782.535714            12.214286
2023-03          381.161290             5.935484
2023-04          217.466667             2.133333
2023-05          197.806452             1.000000
2023-06          177.566667             0.933333
2023-07          266.258065             1.064516
2023-08          669.419355             2.096774
2023-09          869.566667             3.966667
2023-10          475.645161             3.709677
2023-11          396.700000             2.700000
2023-12         1034.032258             4.322581
2024-01         1182.000000             9.935484
2024-02          436.206897             4.517241
2024-03          172.548387             2.451613
2024-04          129.766667             1.266667
2024-05          199.645161             0.709677
2024-06          369.800000             1.233333
2024-07          581.838710             2.354839
2024-08          436.483871             2.258065
2024-09          291.966667             1.866667
2024-10          122.322581             1.129032
2024-11           89.933333             0.566667
2024-12          113.555556             0.444444
