year,month,month_name,season_id,weekly_average
2021,1,January,1,7095.75
2021,2,February,1,4779.25
2021,3,March,2,1255.25
2021,4,April,2,383.25
2021,5,May,2,115.25
2021,6,June,3,94.5
2021,7,July,3,298.0
2021,8,August,3,563.0
2021,9,September,4,750.0
2021,10,October,4,855.5
2021,11,November,4,859.5
2021,12,December,1,873.25
2022,1,January,1,1216.5
2022,2,February,1,930.75
2022,3,March,2,658.25
2022,4,April,2,1167.25
2022,5,May,2,567.25
2022,6,June,3,240.25
2022,7,July,3,673.0
2022,8,August,3,545.5
2022,9,September,4,351.75
2022,10,October,4,540.5
2022,11,November,4,454.25
2022,12,December,1,430.5
2023,1,January,1,696.0
2023,2,February,1,425.25
2023,3,March,2,678.75
2023,4,April,2,466.75
2023,5,May,2,281.0
2023,6,June,3,195.25
2023,7,July,3,70.0
2023,8,August,3,114.75
2023,9,September,4,251.5
2023,10,October,4,283.75
2023,11,November,4,250.25
2023,12,December,1,240.25
2024,1,January,1,345.75
2024,2,February,1,282.0
2024,3,March,2,183.5
2024,4,April,2,112.25
2024,5,May,2,155.75
2024,6,June,3,159.75
2024,7,July,3,192.5
2024,8,August,3,207.25
2024,9,September,4,118.25
2024,10,October,4,218.5
2024,11,November,4,184.75
